ANO_ELEICAO,NR_TURNO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,DS_SITUACAO_CANDIDATURA,SG_PARTIDO,NM_PARTIDO,QT_VOTOS_NOMINAIS,ST_VOTO_EM_TRANSITO,DS_SIT_TOT_TURNO,TOTAL_VOTOS
2020,1,SALVADOR,5,13,Vereador,50000665813,DANIEL VIANNA ALVES DE ALMEIDA,DANIEL ALVES,APTO,PSDB,Partido da Social Democracia Brasileira,183,N,ELEITO POR MÉDIA,5647
2020,1,SALVADOR,5,13,Vereador,50000666009,ANDRE MOREIRA FRAGA,ANDRE FRAGA,APTO,PV,Partido Verde,152,N,ELEITO POR QP,5621
2020,1,SALVADOR,6,13,Vereador,50000673854,LORENA BRANDÃO PORTELA,LORENA BRANDÃO,APTO,PSC,Partido Social Cristão,276,N,SUPLENTE,5606
2020,1,SALVADOR,10,13,Vereador,50001070228,LUIZ CARLOS SANTOS LIMA,LUIZ CARLOS SUÍCA,APTO,PT,Partido dos Trabalhadores,108,N,ELEITO POR QP,5521
2020,1,SALVADOR,6,13,Vereador,50000816252,PEDRO LUIZ DA SILVA GODINHO,PEDRO GODINHO,APTO,DEM,Democratas,332,N,SUPLENTE,5496
2020,1,SALVADOR,13,13,Vereador,50000720754,ANDERSON ALVES BARRETO,ANDERSON NINHO,APTO,PDT,Partido Democrático Trabalhista,69,N,ELEITO POR QP,5289
2020,1,SALVADOR,10,13,Vereador,50000720745,HENRIQUE SANTANA CARBALLAL,CARBALLAL,APTO,PDT,Partido Democrático Trabalhista,499,N,ELEITO POR QP,5275
2020,1,SALVADOR,1,13,Vereador,50000816269,ANDERSON DE ANDRADE COSTA,BINHO DE GANSO,APTO,DEM,Democratas,24,N,SUPLENTE,5110
2020,1,SALVADOR,18,13,Vereador,50001037256,MARIA ALADILCE DE SOUZA,ALADILCE,APTO,PC do B,Partido Comunista do Brasil,106,N,SUPLENTE,5074
2020,1,SALVADOR,12,13,Vereador,50000816254,UZIEL BUENO BARBOSA DE SANTANA JÚNIOR,UZIEL BUENO,APTO,DEM,Democratas,204,N,SUPLENTE,4882
2020,1,SALVADOR,19,13,Vereador,50000665925,ANTONIO CAROLINO ARAÚJO FILHO,TOINHO CAROLINO,APTO,PODE,Podemos,249,N,SUPLENTE,4844
2020,1,SALVADOR,6,13,Vereador,50001070240,MARIA FERNANDES MARIGHELLA,MARIA MARIGHELLA,APTO,PT,Partido dos Trabalhadores,387,N,ELEITO POR QP,4837
2020,1,SALVADOR,3,13,Vereador,50000770606,BALBINO SANTOS DE CARVALHO,SABA,APTO,DC,Democracia Cristã,1777,N,ELEITO POR MÉDIA,4830
2020,1,SALVADOR,15,13,Vereador,50001038242,GEORGE CARLOS REIS PEREIRA,GEORGE O GORDINHO DA FAVELA ,APTO,PSL,Partido Social Liberal,1733,N,ELEITO POR QP,4822
2020,1,SALVADOR,11,13,Vereador,50000720766,RANDERSON VIEIRA LEAL,RANDERSON LEAL,APTO,PDT,Partido Democrático Trabalhista,449,N,SUPLENTE,4786
2020,1,SALVADOR,19,13,Vereador,50000633861,ATILA SANTANA TEIXEIRA,ATILA DO CONGO,APTO,PATRIOTA,Patriota,162,N,SUPLENTE,4733
2020,1,SALVADOR,16,13,Vereador,50000998761,EDVALDO PEREIRA DE BRITO,EDVALDO  BRITO,APTO,PSD,Partido Social Democrático,239,N,ELEITO POR MÉDIA,4725
2020,1,SALVADOR,5,13,Vereador,50000913254,SILVIO HUMBERTO DOS PASSOS CUNHA,SILVIO HUMBERTO,APTO,PSB,Partido Socialista Brasileiro,263,N,ELEITO POR QP,4708
2020,1,SALVADOR,11,13,Vereador,50001070250,JOSÉ TIAGO PASSOS FERREIRA,TIAGO FERREIRA,APTO,PT,Partido dos Trabalhadores,85,N,ELEITO POR MÉDIA,4610
2020,1,SALVADOR,16,13,Vereador,50000721006,ALFREDO MACEDO MANGUEIRA,ALFREDO MANGUEIRA,APTO,MDB,Movimento Democrático Brasileiro,95,N,SUPLENTE,4560
2020,1,SALVADOR,18,13,Vereador,50000665808,JOVELINA SOUZA DA SILVA,TIA JOVE,APTO,PSDB,Partido da Social Democracia Brasileira,48,N,SUPLENTE,4492
2020,1,SALVADOR,13,13,Vereador,50001038195,ALBERTO MAGALHÃES PIMENTEL JUNIOR,ALBERTO PIMENTEL,APTO,PSL,Partido Social Liberal,165,N,SUPLENTE,4430
2020,1,SALVADOR,3,13,Vereador,50000759360,ANTÔNIO LÁZARO SILVA,IRMÃO LÁZARO,APTO,PL,Partido Liberal,234,N,ELEITO POR MÉDIA,4273
2020,1,SALVADOR,6,13,Vereador,50000758385,ALMIR BARRETO,ALMIR BARRETO,APTO,REPUBLICANOS,REPUBLICANOS,117,N,SUPLENTE,4250
2020,1,SALVADOR,18,13,Vereador,50001070215,ARNANDO LESSA SILVEIRA,LESSA,APTO,PT,Partido dos Trabalhadores,351,N,SUPLENTE,4231
2020,1,SALVADOR,15,13,Vereador,50000666067,OSVALDO CONCEIÇÃO SANTOS,OSVALDO BERNARDINHO,APTO,PV,Partido Verde,30,N,SUPLENTE,4196
2020,1,SALVADOR,14,13,Vereador,50000816144,JOSE ANTONIO MESQUITA NOGUEIRA,DR JOSE ANTONIO,APTO,PTB,Partido Trabalhista Brasileiro,107,N,ELEITO POR MÉDIA,4192
2020,1,SALVADOR,2,13,Vereador,50000816140,ALEX DE CARVALHO SOUZA,ALEX ALEMÃO,APTO,PTB,Partido Trabalhista Brasileiro,45,N,SUPLENTE,4143
2020,1,SALVADOR,10,13,Vereador,50000720776,OMAR ANTONIO GORDILHO DE BRITTO,OMAR GORDILHO,APTO,PDT,Partido Democrático Trabalhista,252,N,SUPLENTE,4119
2020,1,SALVADOR,17,13,Vereador,50000633871,ANTONIO PROFETA DE JESUS NETO,TUICO PROFETA,APTO,PATRIOTA,Patriota,29,N,SUPLENTE,4069
2020,1,SALVADOR,13,13,Vereador,50001070237,ANA RITA TAVARES TEIXEIRA,ANA RITA TAVARES,APTO,PT,Partido dos Trabalhadores,430,N,SUPLENTE,3983
2020,1,SALVADOR,8,13,Vereador,50000770623,OSMAR SANTOS BASTOS,MALA,APTO,DC,Democracia Cristã,87,N,SUPLENTE,3925
2020,1,SALVADOR,19,13,Vereador,50000637180,LEANDRO SILVA DE JESUS,LEANDRO DE JESUS,APTO,PRTB,Partido Renovador Trabalhista Brasileiro,166,N,NÃO ELEITO,3912
2020,1,SALVADOR,11,13,Vereador,50000816265,DEMETRIO SANTOS OLIVEIRA,DEMETRIO,APTO,DEM,Democratas,99,N,SUPLENTE,3886
2020,1,SALVADOR,7,13,Vereador,50001070256,GILMAR CARVALHO SANTIAGO,GILMAR SANTIAGO,APTO,PT,Partido dos Trabalhadores,462,N,SUPLENTE,3878
2020,1,SALVADOR,2,13,Vereador,50000665932,SULIVAN SANTOS AVELINO,SULIVAN SANTOS,APTO,PODE,Podemos,14,N,SUPLENTE,3838
2020,1,SALVADOR,12,13,Vereador,50000816280,ALEXSANDRO VELOSO SANTOS,ALEX MINE,APTO,DEM,Democratas,98,N,SUPLENTE,3791
2020,1,SALVADOR,16,13,Vereador,50000665900,ANDRÉ LUIZ SOUSA DE ARAÚJO,ANDRÉ ARAÚJO,APTO,PODE,Podemos,21,N,SUPLENTE,3769
2020,1,SALVADOR,3,13,Vereador,50000758370,IGOR ANTÔNIO MAGALHÃES NOVAIS,MANASSÉS,APTO,REPUBLICANOS,REPUBLICANOS,194,N,SUPLENTE,3727
2020,1,SALVADOR,11,13,Vereador,50001247599,LAINA CRISÓSTOMO SOUZA DE QUEIROZ,LAINA PRETAS POR SALVADOR,APTO,PSOL,Partido Socialismo e Liberdade,125,N,ELEITO POR QP,3635
2020,1,SALVADOR,10,13,Vereador,50001070226,MARCOS FABIO REZENDE CORREIA,MARCOS REZENDE,APTO,PT,Partido dos Trabalhadores,468,N,SUPLENTE,3631
2020,1,SALVADOR,2,13,Vereador,50000673808,ELTON RODRIGUES PINTO,ELTON,APTO,PSC,Partido Social Cristão,159,N,SUPLENTE,3630
2020,1,SALVADOR,12,13,Vereador,50000913239,JOSÉ GONÇALVES TRINDADE,ZÉ TRINDADE,APTO,PSB,Partido Socialista Brasileiro,68,N,SUPLENTE,3613
2020,1,SALVADOR,18,13,Vereador,50000721008,NESTOR JOSÉ MARIA NETO,NESTOR NETO,APTO,MDB,Movimento Democrático Brasileiro,24,N,SUPLENTE,3611
2020,1,SALVADOR,6,13,Vereador,50000913267,BRUNO DA CRUZ CARIANHA,BRUNO CARIANHA,APTO,PSB,Partido Socialista Brasileiro,150,N,SUPLENTE,3598
2020,1,SALVADOR,12,13,Vereador,50000673802,JORGE MENDES DA LUZ,JORGE MENDES,APTO,PSC,Partido Social Cristão,144,N,SUPLENTE,3541
2020,1,SALVADOR,9,13,Vereador,50000816258,LEO KRET DO BRASIL DE SOUZA SANTOS,LEO KRET DO BRASIL,APTO,DEM,Democratas,82,N,SUPLENTE,3536
2020,1,SALVADOR,9,13,Vereador,50000665843,SERGIO QUEIROZ BESERRA,SERGIO KABROCHA,APTO,PSDB,Partido da Social Democracia Brasileira,1284,N,SUPLENTE,3496
2020,1,SALVADOR,1,13,Vereador,50000758918,MARCELO CASTILHO MAIA,MARCELO MAIA,APTO,PMN,Partido da Mobilização Nacional,55,N,ELEITO POR QP,3460
2020,1,SALVADOR,8,13,Vereador,50000759372,LEANDRO ALVES DIAS,LEANDRO GUERRILHA,APTO,PL,Partido Liberal,186,N,SUPLENTE,3442
2020,1,SALVADOR,2,13,Vereador,50000673795,JOSÉ COSME ALVES BATISTA,PASTOR COSME,APTO,PSC,Partido Social Cristão,345,N,SUPLENTE,3437
2020,1,SALVADOR,14,13,Vereador,50001037260,JOSÉ JORGE XAVIER,XAVIERFAZ,APTO,PC do B,Partido Comunista do Brasil,41,N,SUPLENTE,3396
2020,1,SALVADOR,6,13,Vereador,50000721034,ADEMILTON DE PAULA PAIM,DENIS PAIM,APTO,MDB,Movimento Democrático Brasileiro,205,N,SUPLENTE,3379
2020,1,SALVADOR,5,13,Vereador,50000720764,ODIOSVALDO BOMFIM VIGAS,ODIOSVALDO VIGAS,APTO,PDT,Partido Democrático Trabalhista,79,N,SUPLENTE,3162
2020,1,SALVADOR,13,13,Vereador,50000665840,NIVALDO SILVA DO ROSARIO,VAL DO POVO,APTO,PSDB,Partido da Social Democracia Brasileira,27,N,SUPLENTE,3143
2020,1,SALVADOR,18,13,Vereador,50000913247,SAMUEL NONATO DOS SANTOS,SAMUEL NONATO,APTO,PSB,Partido Socialista Brasileiro,66,N,SUPLENTE,3088
2020,1,SALVADOR,14,13,Vereador,50000720726,IRAILSON WARNEAUX DE OLIVEIRA,GAZO,APTO,PDT,Partido Democrático Trabalhista,168,N,SUPLENTE,3073
2020,1,SALVADOR,18,13,Vereador,50000758874,ADRIANO BARBOSA MEIRELES,ADRIANO MEIRELES,APTO,PMN,Partido da Mobilização Nacional,200,N,SUPLENTE,3028
2020,1,SALVADOR,18,13,Vereador,50000759192,ISABELA DE SOUSA PEREIRA,ISABELA SOUSA,APTO,CIDADANIA,Cidadania,72,N,SUPLENTE,2992
2020,1,SALVADOR,6,13,Vereador,50000665810,ATANAZIO JULIO DOS SANTOS,ATANÁZIO JÚLIO,APTO,PSDB,Partido da Social Democracia Brasileira,43,N,SUPLENTE,2989
2020,1,SALVADOR,8,13,Vereador,50000816141,DARLAN DORIA SALES,DARLAN DOREA,APTO,PTB,Partido Trabalhista Brasileiro,111,N,SUPLENTE,2984
2020,1,SALVADOR,15,13,Vereador,50000759333,CLEONICE DA SILVA PARIS,IRMÃ NICE,APTO,PL,Partido Liberal,180,N,SUPLENTE,2975
2020,1,SALVADOR,12,13,Vereador,50000633850,MÁRCIO LUIZ RIBEIRO BOMFIM,MÁRCIO RIBEIRO,APTO,PATRIOTA,Patriota,45,N,SUPLENTE,2972
2020,1,SALVADOR,15,13,Vereador,50000633883,PATRUSKA ROCHA BARREIRO,PATRUSKA BARREIRO PROTETORA,APTO,PATRIOTA,Patriota,55,N,SUPLENTE,2964
2020,1,SALVADOR,16,13,Vereador,50000759197,LOURIVAL EVANGELISTA COSTA NETO,LOURIVAL NETO,APTO,CIDADANIA,Cidadania,25,N,SUPLENTE,2937
2020,1,SALVADOR,19,13,Vereador,50000665814,DINOERMESON TIAGO DOS SANTOS NASCIMENTO,DINO,APTO,PSDB,Partido da Social Democracia Brasileira,229,N,SUPLENTE,2912
2020,1,SALVADOR,18,13,Vereador,50000673800,ANTONIO MARIO DOS SANTOS,ANTÔNIO MÁRIO,APTO,PSC,Partido Social Cristão,12,N,SUPLENTE,2862
2020,1,SALVADOR,16,13,Vereador,50001247591,MARCOS ANTÔNIO GUIMARÃES MENDES,MARCOS MENDES,APTO,PSOL,Partido Socialismo e Liberdade,91,N,SUPLENTE,2830
2020,1,SALVADOR,7,13,Vereador,50000642695,JAIR NASCIMENTO FERREIRA,JAIR FERREIRA,APTO,AVANTE,AVANTE,18,N,SUPLENTE,2818
2020,1,SALVADOR,13,13,Vereador,50000665883,ALISSON LEITE PINHEIRO SILVA,ALISSON LEITE,APTO,PODE,Podemos,13,N,SUPLENTE,2752
2020,1,SALVADOR,11,13,Vereador,50000665908,CELIA JANAINA LOPES RIOS,JANAINA RIOS,APTO,PODE,Podemos,178,N,SUPLENTE,2745
2020,1,SALVADOR,7,13,Vereador,50000816166,JOSE CARLOS DA PAIXÃO RIBEIRO,ZÉ RIBEIRO,APTO,PTB,Partido Trabalhista Brasileiro,9,N,SUPLENTE,2679
2020,1,SALVADOR,1,13,Vereador,50000665815,EUVALDO JORGE MIRANDA DE OLIVEIRA,EUVALDO JORGE,APTO,PSDB,Partido da Social Democracia Brasileira,128,N,SUPLENTE,2673
2020,1,SALVADOR,9,13,Vereador,50001247583,HAMILTON MOREIRA DE ASSIS,HAMILTON ASSIS DA RESISTÊNCIA,APTO,PSOL,Partido Socialismo e Liberdade,116,N,SUPLENTE,2669
2020,1,SALVADOR,17,13,Vereador,50000758895,FABRICIO QUEIROZ ARAUJO,FABRICIO ARAÚJO,APTO,PMN,Partido da Mobilização Nacional,112,N,SUPLENTE,2623
2020,1,SALVADOR,9,13,Vereador,50001070204,NELSON COSTA DA SILVA,NELSON COSTA,APTO,PT,Partido dos Trabalhadores,190,N,SUPLENTE,2623
2020,1,SALVADOR,13,13,Vereador,50000721038,MARCIO LUÍS DAS NEVES DIAS,MARCIO DIAS - AMIGO DE VERDADE,APTO,MDB,Movimento Democrático Brasileiro,99,N,SUPLENTE,2611
2020,1,SALVADOR,7,13,Vereador,50000633899,REGINALDO DOS SANTOS MOURA,REGIS MOURA,APTO,PATRIOTA,Patriota,18,N,SUPLENTE,2579
2020,1,SALVADOR,13,13,Vereador,50000720752,ALDO QUEIROZ BATISTA,ALDO,APTO,PDT,Partido Democrático Trabalhista,104,N,SUPLENTE,2551
2020,1,SALVADOR,6,13,Vereador,50000637171,CLARICE MARIA SABA SILVA,DRA CLARICE SABA,APTO,PRTB,Partido Renovador Trabalhista Brasileiro,256,N,NÃO ELEITO,2549
2020,1,SALVADOR,10,13,Vereador,50000816170,IVAN JEZLER COSTA JUNIOR,PROFESSOR IVAN JEZLER,APTO,PTB,Partido Trabalhista Brasileiro,323,N,SUPLENTE,2535
2020,1,SALVADOR,4,13,Vereador,50001070212,RAFAEL DE LUCENA PEDRAL,PETRA DA BANCADA,APTO,PT,Partido dos Trabalhadores,64,N,SUPLENTE,2500
2020,1,SALVADOR,6,13,Vereador,50000816261,EDIVALDO RIBEIRO E SILVA,VADO MALASSOMBRADO,APTO,DEM,Democratas,7,N,SUPLENTE,2442
2020,1,SALVADOR,3,13,Vereador,50000720998,PEDRO SOUZA DOS SANTOS,PEDRINHO PEPÊ,APTO,MDB,Movimento Democrático Brasileiro,52,N,SUPLENTE,2438
2020,1,SALVADOR,11,13,Vereador,50000998754,MODESTO ANTONIO DE OLIVEIRA JACOBINO,DR MODESTO JACOBINO,APTO,PSD,Partido Social Democrático,75,N,SUPLENTE,2429
2020,1,SALVADOR,4,13,Vereador,50000665899,ERIC ALVES SILVA PEREIRA,ERIC,APTO,PODE,Podemos,20,N,SUPLENTE,2424
2020,1,SALVADOR,19,13,Vereador,50001037307,JAIME GERSON FELIPE SALES,JAIMINHO,APTO,PC do B,Partido Comunista do Brasil,47,N,SUPLENTE,2323
2020,1,SALVADOR,11,13,Vereador,50000665830,SONIA FRANCISCA DOS SANTOS,SÔNIA BIEVENIDO,APTO,PSDB,Partido da Social Democracia Brasileira,9,N,SUPLENTE,2302
2020,1,SALVADOR,4,13,Vereador,50001247582,ELIETE PARAGUASSU DA CONCEIÇÃO,ELIETE PARAGUASSU,APTO,PSOL,Partido Socialismo e Liberdade,763,N,SUPLENTE,2291
2020,1,SALVADOR,8,13,Vereador,50000758401,MOISES RICARDO NASCIMENTO DO SACRAMENTO,MOISES SACRAMENTO,APTO,REPUBLICANOS,REPUBLICANOS,56,N,SUPLENTE,2273
2020,1,SALVADOR,14,13,Vereador,50000665845,SERGIO PALMA NOGUEIRA,SERGIO NOGUEIRA,APTO,PSDB,Partido da Social Democracia Brasileira,66,N,SUPLENTE,2252
2020,1,SALVADOR,7,13,Vereador,50001070206,JOSIVAL DOS SANTOS BASTOS,JHONES BASTOS,APTO,PT,Partido dos Trabalhadores,58,N,SUPLENTE,2251
2020,1,SALVADOR,6,13,Vereador,50000759364,JOVINIANO ROSA DE SOUZA,JULINHO,APTO,PL,Partido Liberal,23,N,SUPLENTE,2239
2020,1,SALVADOR,5,13,Vereador,50000720762,JADSON RAIMUNDO BRITO DE OLIVEIRA,JADSON DAPAI,APTO,PDT,Partido Democrático Trabalhista,31,N,SUPLENTE,2229
2020,1,SALVADOR,9,13,Vereador,50000665827,MAOME SIIDID MARTINS ALVES,DR MAOME,APTO,PSDB,Partido da Social Democracia Brasileira,86,N,SUPLENTE,2228
2020,1,SALVADOR,1,13,Vereador,50001037280,RONALD RUBEM XAVIER,RONALD DO CAMARÃO,APTO,PC do B,Partido Comunista do Brasil,20,N,SUPLENTE,2226
2020,1,SALVADOR,14,13,Vereador,50000769071,ALEXANDRE MOREIRA ALMEIDA,ALEXANDRE MOREIRA,APTO,DC,Democracia Cristã,81,N,SUPLENTE,2186
2020,1,SALVADOR,16,13,Vereador,50000665931,CLAUDIO EMANUEL ABDALA DE SANTANA,CLAUDIO ABDALA ,APTO,PODE,Podemos,65,N,SUPLENTE,2155
2020,1,SALVADOR,12,13,Vereador,50000721002,VALDIR SANTANA DE FRANÇA,VALDIR  SANGUE BOM,APTO,MDB,Movimento Democrático Brasileiro,9,N,SUPLENTE,2154
2020,1,SALVADOR,2,13,Vereador,50001037250,EVERALDO AUGUSTO DA SILVA,EVERALDO AUGUSTO,APTO,PC do B,Partido Comunista do Brasil,102,N,SUPLENTE,2129
2020,1,SALVADOR,4,13,Vereador,50000913259,GEOVANI AZEVEDO DOS SANTOS,GEOVANI AZEVEDO,APTO,PSB,Partido Socialista Brasileiro,15,N,SUPLENTE,2112
2020,1,SALVADOR,7,13,Vereador,50000758914,ROBERTO RIVELINO BATISTA FACTUM DOS SANTOS,PROF ROBERTO FACTUM,APTO,PMN,Partido da Mobilização Nacional,11,N,SUPLENTE,2063
2020,1,SALVADOR,6,13,Vereador,50000665933,VALDINES MASCARENHAS DE SOUZA,VAL DO GÁS,APTO,PODE,Podemos,9,N,SUPLENTE,2054
2020,1,SALVADOR,4,13,Vereador,50000666035,ROQUE SANTOS BARBOSA,ROQUE DEDEU,APTO,PV,Partido Verde,854,N,SUPLENTE,2044
